CBSA,NAME,LON,LAT,POP,ALAND,AWATER,IS_MSA,CSA,ISCUS
14020,"Bloomington, IN",-86.57287610723132,39.18243938417402,161039,779.817,19.336000000000002,true,144,true
18820,"Crawfordsville, IN",-86.90058,40.034526,37936,504.647,0.798,false,294,true
28340,"Kendallville, IN",-85.388959,41.415849,47457,410.845,6.588,false,258,true
21780,"Evansville, IN",-87.52888564612472,38.00263163925781,269256,1027.6290000000001,19.9,true,241,true
24600,"Greencastle, IN",-86.83430400000002,39.646449,36726,480.537,2.157,false,294,true
43780,"South Bend-Mishawaka, IN-MI",-86.19750129085462,41.71073683345506,324501,947.885,21.810000000000002,true,515,true
11420,"Angola, IN",-85.010961,41.650003,34435,308.777,13.689,false,258,true
47340,"Wabash, IN",-85.80421000000001,40.855768,30976,412.538,8.438,false,,true
39980,"Richmond, IN",-84.948672,39.843304,66553,401.754,2.588,false,458,true
33900,"Monticello, IN",-86.809953,40.753581,24688,505.139,3.54,false,320,true
16300,"Cedar Rapids, IA",-91.64873785897295,42.02322749686099,276520,2008.779,11.332,true,168,true
47940,"Waterloo-Cedar Falls, IA",-92.40064829185175,42.51927989609465,168461,1503.091,10.883,true,,true
11180,"Ames, IA",-93.66621750097029,42.025364486108,125252,1143.0320000000002,4.244,true,218,true
44740,"Storm Lake, IA",-95.18429600000002,42.676707,20823,574.899,5.327,false,,true
16140,"Carroll, IA",-94.86770100000001,42.039462,20760,569.453,0.828,false,,true
32380,"Mason City, IA",-93.24674306487296,43.16968310974886,50570,968.423,8.636,false,,true
43980,"Spencer, IA",-95.159344,43.127358,16384,567.238,5.354,false,517,true
17540,"Clinton, IA",-90.34116799999998,41.852141,46460,694.959,15.217,false,209,true
19780,"Des Moines-West Des Moines, IA",-93.66305680943763,41.610826956697004,709466,3612.371,32.292,true,218,true
44020,"Spirit Lake, IA",-95.134559,43.38895,17703,380.532,23.429,false,517,true
